489;Clara Sweet;25/01/2000;01:03:01;Proximus;died sits text;2;CLOSED
447;Abigail Dejesus;17/03/2000;14:08:42;Eurosys;always to;3;CLOSED
453;Louis Galloway;27/06/2000;12:37:36;Eurosys;came room text people;1;CLOSED
108;Lewis McGuire;13/10/2000;16:13:56;Eurosys;many took sidekick;6;CLOSED
44;Sarah Kelley;26/03/2001;11:41:13;Eurosys;magnetic to;8;CLOSED
141;Valerie Madden;09/04/2001;08:42:35;T-Network;are build list crash red;9;CLOSED
177;Floyd Garza;16/10/2001;09:40:02;Cegeka;sits;9;CLOSED
110;Austin Swanson;19/11/2001;18:04:39;Cegeka;came plane of else world;1;CLOSED
105;Chasity Russo;04/01/2002;20:52:50;Telenet;;8;CLOSED
437;Monica McCray;17/04/2002;13:24:57;XCOMM;television books;4;CLOSED
468;Nicole Hill;09/05/2002;07:49:50;Proximus;;4;CLOSED
253;Nicholas Reese;12/05/2002;02:53:55;Telenet;;2;CLOSED
396;Elizabeth Andrews;19/07/2002;07:27:22;ACA-IT;headphones out ending trying what it rescue;7;CLOSED
204;Frank Chang;07/09/2002;10:39:04;ACA-IT;;5;CLOSED
56;Tyrone Haley;02/10/2002;16:38:09;Proximus;cold;7;CLOSED
372;Juanita Duncan;16/01/2003;11:41:35;Yappa;automatically interest came came;3;CLOSED
457;Kevin Gonzales;17/01/2003;06:26:43;XCOMM;white much list is hot lock;5;CLOSED
196;Penny Morton;08/02/2003;20:29:24;ACA-IT;no when have to it it island;5;CLOSED
306;Allen Powers;27/05/2003;15:39:25;Proximus;magnetic demanded;4;CLOSED
153;Darlene Gardner;05/07/2003;21:16:13;XCOMM;wrong we;10;CLOSED
335;Hope Barr;10/09/2003;11:07:53;Cegeka;who will do hot text;1;CLOSED
195;Jeffery Yates;28/01/2004;11:30:12;Yappa;have are discovered should secretly with throw;10;CLOSED
11;Leroy Schmidt;18/04/2004;20:31:33;XCOMM;;3;CLOSED
205;Katherine Cline;02/05/2004;16:57:43;Cegeka;room or of ball do light will;5;CLOSED
498;Pete Galloway;05/06/2004;00:02:56;Yappa;was;0;CLOSED
347;Jessie Foreman;26/08/2004;23:37:20;Mobistart;;2;CLOSED
328;Jacob Clay;12/10/2004;08:13:53;XCOMM;computer hat sidekick;2;CLOSED
145;Dennis Tucker;24/11/2004;14:47:45;XCOMM;should of;0;CLOSED
180;Melanie Valenzuela;01/02/2005;08:12:31;Mobistart;have sidekick;7;CLOSED
231;Olivia Le;20/02/2005;11:45:01;Eurosys;hatch enter;3;CLOSED
126;Trent McKnight;23/03/2005;23:11:13;Yappa;or maybe asked others;1;CLOSED
10;Jared Hendricks;04/06/2005;10:56:12;XCOMM;probably as to was hid dreams library;7;CLOSED
161;Benjamin Hines;08/06/2005;14:49:09;Cegeka;asked;8;CLOSED
269;Courtney Leon;22/03/2006;05:18:11;ACA-IT;with;2;CLOSED
211;Tabitha Barnes;08/04/2006;00:13:16;Proximus;of so my sacrifice captain;5;CLOSED
193;Pete Byers;17/04/2006;11:31:08;Yappa;words;6;CLOSED
410;Vernon Randolph;06/05/2006;15:22:19;Telenet;to hot sidekick a hid what caves;3;CLOSED
393;Pete Pope;14/07/2006;14:42:34;PXL;rabbit they out to this to;3;CLOSED
462;Ronda Lindsay;06/08/2006;05:37:50;Telenet;island;8;CLOSED
31;Deborah Eaton;26/08/2006;06:00:26;Cegeka;island to in demanded keys captain;2;CLOSED
486;Terry Serrano;12/09/2006;03:56:20;PXL;sill list people window moved shepherd they;6;CLOSED
378;Robin Avila;27/10/2006;10:22:04;PXL;;4;CLOSED
222;Jan Boyer;01/11/2006;22:52:41;Telenet;in;7;CLOSED
295;Loretta McKay;19/12/2006;13:21:16;Cegeka;enter;5;CLOSED
448;Jake Barton;04/04/2007;23:04:38;Eurosys;will television when;3;CLOSED
262;Charlie Hartman;17/06/2007;20:55:31;PXL;to we ends something we we;5;CLOSED
353;Joe Paul;07/10/2007;12:15:07;Telenet;monster a keys;8;CLOSED
171;Kathy Hardin;22/10/2007;07:48:41;PXL;;3;CLOSED
8;Unborn Glenn;25/02/2008;17:28:47;T-Network;shepherd are trying the sill of they;5;CLOSED
246;Tyler Blevins;08/04/2008;14:10:53;Cegeka;smoke interest on about to;2;CLOSED
411;Everett Galloway;17/06/2008;15:19:58;Telenet;captain it came hot of;10;CLOSED
89;Clint Lindsey;17/10/2008;19:33:52;XCOMM;a had speed we is moved;8;CLOSED
114;Maria Carlson;27/11/2008;22:40:28;ACA-IT;warp;3;CLOSED
91;Trisha Martinez;01/02/2009;03:19:59;ACA-IT;is;9;CLOSED
213;Craig Hill;08/04/2009;07:26:37;PXL;;0;CLOSED
472;Jade Martinez;13/04/2009;10:06:00;Mobistart;dreams in;5;CLOSED
36;Gage Barr;24/04/2009;00:08:31;PXL;captain should sits white came of speed;2;CLOSED
